City,Country,Population,Size,Average_HH_Size,Number_of_HH,Monthly_Income,Existing_Open_Space,Public_Space_Cost,Percentage_of_HH_in_Need_of_Adequate_Housing_Upgrades,Average_Market_Price_of_an_Adequate_Home,Average_Monthly_Rent_of_an_Adequate_Home,Total_Housing_Cost_from,Total_Governance_Cost
Ocana,Colombia,92969.17296449996,Small,2.919,31849.665284172646,40.760000000000005,0,52077390.35465577,0.2305,43485.75000000001,136.37500000000003,195859154.483366,33000000
Honda,Colombia,23970.24,Small,2.377290114757399,10083.009999999998,40.760000000000005,0,16381228.368657287,0.1012,43485.75000000001,136.37500000000003,154835637.8273054,13000000
Campoalegre,Colombia,30635.744999999995,Small,2.668228429985856,11481.679999999998,40.760000000000005,0.01792544,15817303.147397049,0.2139,43485.75000000001,136.37500000000003,178875377.3957491,13000000
El Carmen de Bolivar,Colombia,63964,Small,3.458,18497.3973395026,40.760000000000005,0.3965,30943410.215741836,0.8438,43485.75000000001,136.37500000000003,403195738.9678809,13000000
Agartala,India,482442.9457353586,Medium,3.974207650273224,121393,73.86091127098321,0,2095878139.650472,0.11068057625434674,15584.8,60.662,821252192.7477212,33777400
Aizawl,India,353887.6595381195,Medium,4.839053352024409,73132,166.27540073204597,12.956920723790825,79121372.39339708,0.26365960253978726,34179.78666666667,70,927224011.9011996,33777400
Bangalore,India,10183876.760812402,Large,4.01729492047648,2535008,132.525558500568,51.44870950273148,44438750621.56279,0.07866522094307297,37853.2,139.202,37240730434.484566,98832199.99999999
Bhopal,India,2168822.28426302,Large,4.6988894405393395,461561,108.65462509082352,100.58253557595252,484900196.38502914,0.268632574668792,23092.300000000003,59.5,3699345579.3354135,98832199.99999999
Bhubaneswar,India,1017223.1910658216,Large,4.281489227770219,237586,70.6802978669696,5.504362383129643,1895898070.99264,0.21461713403862165,20251,65.19800000000001,2244988546.1180477,98832199.99999999
Chandigarh,India,1159765.5644964206,Large,4.409189910448583,263034,228.827464344314,10.71,1449509226.117489,0.09951991636365304,39724.3,98.532,3562890531.83958,98832199.99999999
Chennai,India,5604401.641290473,Large,4.0232072880789485,1393018,141.3605957339392,32.54,13470479617.595022,0.2855689525897373,36590.4,110.124,21043365221.79762,98832199.99999999
Daman,India,53408.31222451062,Small,4.332028957151242,12329,39.77533762463714,0,263319564.28665155,0.006,22303.05,85.91438709677419,108078702.50113724,9936399.999999998
Dehradun,India,686965.350711628,Medium,4.591186451607703,149627,137.8265808405907,0.465,2392004571.248074,0.26488203193641735,20643.7,62.118,1329452926.258263,33777400
Dispur,India,637497.3518432773,Medium,4.071443977137927,156578,39.77533762463714,1.14,1472327356.0679717,0.18,34179.78666666667,85.91438709677419,2142423611.5523205,33777400
Gandhinagar,India,248657.05041305005,Medium,4.566976053873248,54447,93.29799318439984,0,1361437474.447252,0.5415236027734089,19072.9,70,632240313.4787418,33777400
Gangtok,India,120954.47359530447,Medium,4.218483153156943,28673,108.65462509082352,0,325123442.5983475,0.2174736045093173,23092.300000000003,44.324,220030733.1711935,33777400
Hyderabad,India,8119180.302376551,Large,4.33,1875099,139.85863940426606,0,23535801293.655663,0.32636559963991746,29729.7,96.418,21240700714.81791,98832199.99999999
Imphal,India,323526.6224659998,Medium,4.6437746693442286,69669,108.65462509082352,0,737394989.8859353,0,21613.9,24.5,425614486.11686254,33777400
Itanagar,India,71750.60959839521,Small,4.4181210545859635,16240,119.4497033951786,3.4,16041832.905101264,0,71533,85.91438709677419,354831279.2451333,9936399.999999998
Jaipur,India,3673962.8876462663,Large,5.081113314773639,723063,125.45752871387104,111.71,821416000.1294668,0.10318144742263226,29860.6,82.04,7252990848.135664,98832199.99999999
Kavaratti,India,13520.328350949914,Small,4.991095280498664,2709,108.65462509082352,0,66659417.27233106,0,22303.05,85.91438709677419,21779105.331557263,9936399.999999998
Kohima,India,119450.47275198292,Medium,4.438822158479742,26910,98.76688123185664,0,321080715.46873677,0.5860866818910646,34179.78666666667,85.91438709677419,479392641.9214539,33777400
Kolkata,India,5423441.51416114,Large,4.387326719535421,1236161,155.49665530733307,0,5886402532.601468,0.2934401245746043,28774.9,82.95,14765935448.263111,98832199.99999999
Lucknow,India,3397697.1096434216,Large,5.234804858877374,649059,92.94459169506501,38.65,1151454513.4345577,0.1219532137010382,25533.2,88.27,6669729418.838456,98832199.99999999
Mumbai,India,15006687.638268843,Large,4.475673741007194,3352945,254.4490723210905,0,27944746217.663956,0.408458273381295,134018.5,271.362,160574447742.99713,98832199.99999999
New Delhi,India,13308724.96044747,Large,4.776863636363636,2786080,150.91303799066011,0,31783349449.019547,0.14373246753246754,49957.600000000006,137.074,51256808917.75427,98832199.99999999
Panaji,India,48264.31575557205,Small,3.9394565859421142,12252,127.00366022971096,0.8,10790822.446855558,0.294,32186,122.5,177403947.3526245,9936399.999999998
Patna,India,2031332.244058302,Large,5.716746093166606,355330,84.8163574403635,0,7037482702.926411,0.046488262528342365,28266.7,62.454,3415120517.8344216,98832199.99999999
Pondicherry,India,291601.27978538926,Medium,4.4,66273,100.80777483276538,0,768193147.2898068,0.18377670566379,21583.1,56,626297122.9014592,33777400
Port Blair,India,120833.86406496594,Medium,3.9948981478058334,30247,108.65462509082352,0,324799246.3569994,0.12288809198121926,34179.78666666667,85.91438709677419,378032506.02433795,33777400
Raipur,India,1218678.495685582,Large,4.6947316089524085,259584,58.94736842105263,27.8731,272469277.99294305,0.39959205861718095,27904.800000000003,131.502,3917088623.745126,98832199.99999999
Ranchi,India,1294655.2632270397,Large,3.2903489815623708,393471,53.01022340022719,0,1962077146.0707228,0.044219657608778946,27365.8,70,3892411296.064555,98832199.99999999
Shillong,India,172747.82420858208,Medium,4.616567284448026,37419,91.70768648239304,0,464343034.52045864,0.09643835616438357,11542.3,100.324,283208154.41800517,33777400
Silvassa,India,118516.95498716264,Medium,4.076540136901058,29073,60.41398460179225,0,318571436.56070256,0,34179.78666666667,85.91438709677419,345037068.9621266,33777400
Simla,India,204527.229357483,Medium,3.66211722023064,55849,118.33648870377382,0,549765502.1532674,0.019155185073208656,33872.299999999996,77,620776911.0939857,33777400
Srinagar,India,1423879.9323176574,Large,6.457235996477583,220509,105.97627161428754,0,4681066623.626251,0.28797400849974564,145453,85.75,10022051148.698853,98832199.99999999
Thiruvananthapuram,India,896962.2222699635,Medium,3.981385712450212,225289,212.04089360090876,0,1787067112.670768,0.00446485930874984,32586.4,78.932,2196399927.7511554,70267699.99999999
Kurnool,India,518879.0848506304,Medium,4.30214,120610,71.56380159030671,0,2456822753.063415,0.32681,24247.3,67.662,1361250471.0173576,33777400
